DeliveryID,OrderID,TrackingID,DeliveryStatus,ExpectedDate,ActualDeliveryDate,Courier,DeliveryAttempts,DeliveryProof
DEL00000001,ORD0000001,TRK75309825,CANCELLED,2023-02-03,,Delhivery,1,
DEL00000002,ORD0000002,TRK56645523,CANCELLED,2024-01-06,,Ecom Express,1,
DEL00000003,ORD0000003,TRK81746365,CANCELLED,2022-05-16,,BlueDart,1,
DEL00000004,ORD0000004,TRK73403623,CANCELLED,2023-07-23,,DTDC,1,
DEL00000005,ORD0000005,TRK95570307,RETURNED,2023-02-11,,DTDC,1,
DEL00000006,ORD0000006,TRK50010541,RETURNED,2023-01-04,,XpressBees,1,
DEL00000007,ORD0000007,TRK88136799,CANCELLED,2024-09-25,,DTDC,1,
DEL00000008,ORD0000008,TRK67966983,DELIVERED_DISPUTED,2022-11-17,2022-11-11,DTDC,1,AVAILABLE_BUT_DISPUTED
DEL00000009,ORD0000009,TRK72810719,DELIVERED,2024-06-29,2024-06-30,Ecom Express,1,Signature
DEL00000010,ORD0000010,TRK66832261,DELIVERED,2020-05-07,2020-05-05,XpressBees,1,Signature
DEL00000011,ORD0000011,TRK34338201,DELIVERED,2021-04-15,2021-04-13,BlueDart,1,Photo
DEL00000012,ORD0000012,TRK28533271,SHIPPED,2023-05-27,,Delhivery,1,
DEL00000013,ORD0000013,TRK10988342,DELIVERED,2020-12-03,2020-11-30,BlueDart,1,OTP
DEL00000014,ORD0000014,TRK58650048,SHIPPED,2024-01-24,,DTDC,1,
DEL00000015,ORD0000015,TRK46244143,DELIVERED,2020-04-04,2020-03-29,Delhivery,1,Photo
DEL00000016,ORD0000016,TRK16180953,DELIVERED,2023-11-02,2023-11-04,BlueDart,1,Photo
DEL00000017,ORD0000017,TRK28503789,DELIVERED,2023-02-04,2023-02-01,Delhivery,1,Signature
DEL00000018,ORD0000018,TRK16982679,DELIVERED,2022-05-27,2022-05-27,DTDC,1,Signature
DEL00000019,ORD0000019,TRK30601883,RETURNED,2024-08-20,,XpressBees,1,
DEL00000020,ORD0000020,TRK73135295,DELIVERED,2020-05-16,2020-05-12,BlueDart,1,OTP
DEL00000021,ORD0000021,TRK98434847,DELIVERED_DISPUTED,2024-08-15,2024-08-18,DTDC,1,AVAILABLE_BUT_DISPUTED
DEL00000022,ORD0000022,TRK21916693,DELIVERED_DISPUTED,2023-08-29,2023-09-01,Delhivery,1,AVAILABLE_BUT_DISPUTED
DEL00000023,ORD0000023,TRK12460146,DELIVERED_DISPUTED,2022-02-14,2022-02-12,Ecom Express,1,AVAILABLE_BUT_DISPUTED
DEL00000024,ORD0000024,TRK86543228,DELIVERED_DISPUTED,2020-12-11,2020-12-12,Delhivery,1,AVAILABLE_BUT_DISPUTED
DEL00000025,ORD0000025,TRK18188184,DELIVERED,2024-02-27,2024-03-02,DTDC,1,OTP
DEL00000026,ORD0000026,TRK56817803,NOT_DISPATCHED,2023-12-11,,DTDC,1,
