RefundID,OrderID,CustomerID,TransactionID,RefundAmount,RefundStatus,RefundReason,RequestedDate,ProcessedDate,GatewayReference
REF00000001,ORD0000001,CUST000001,TXN00000001,1999.0,PROCESSING,ORDER_CANCELLED,2026-09-05 23:43:44,,GW-25988000
REF00000002,ORD0000002,CUST000002,TXN00000002,1999.99,GATEWAY_REFERENCE_MISSING,ORDER_CANCELLED,,,GW-52880483
REF00000003,ORD0000003,CUST000003,TXN00000003,2000.0,PROCESSING,ORDER_CANCELLED,2022-05-10,,GW-77446522
REF00000004,ORD0000004,CUST000004,TXN00000004,2000.01,COMPLETED,ORDER_CANCELLED,2023-07-18,2023-07-18,GW-78695681
REF00000005,ORD0000005,CUST000005,TXN00000005,2499.0,FAILED,RETURN,2023-02-04,,GW-96865468
REF00000006,ORD0000006,CUST000006,TXN00000006,4999.0,NOT_INITIATED,RETURN,,,GW-23775684
REF00000007,ORD0000007,CUST000007,TXN00000007,7999.0,GATEWAY_UNAVAILABLE,ORDER_CANCELLED,,,GW-39968745
REF00000008,ORD0000019,CUST000019,TXN00000019,2968.03,NOT_INITIATED,RETURN,,,GW-92437103
REF00000009,ORD0000044,CUST000044,TXN00000044,268.9,NOT_INITIATED,ORDER_CANCELLED,,,GW-28909714
REF00000010,ORD0000063,CUST000063,TXN00000063,226.77,NOT_INITIATED,RETURN,,,GW-63438575
REF00000011,ORD0000065,CUST000065,TXN00000065,1871.76,NOT_INITIATED,RETURN,,,GW-44714533
REF00000012,ORD0000092,CUST000092,TXN00000092,2367.55,NOT_INITIATED,ORDER_CANCELLED,,,GW-63966306
REF00000013,ORD0000098,CUST000098,TXN00000098,1129.99,NOT_INITIATED,RETURN,,,GW-74275917
REF00000014,ORD0000113,CUST000113,TXN00000113,610.76,NOT_INITIATED,ORDER_CANCELLED,,,GW-36821744
REF00000015,ORD0000132,CUST000132,TXN00000132,1568.69,NOT_INITIATED,RETURN,,,GW-67146759
REF00000016,ORD0000134,CUST000134,TXN00000134,1737.06,NOT_INITIATED,ORDER_CANCELLED,,,GW-18629549
REF00000017,ORD0000149,CUST000149,TXN00000149,795.51,NOT_INITIATED,RETURN,,,GW-83362139
