ReturnID,OrderID,CustomerID,ReturnStatus,ReturnReason,RequestedDate,ApprovedDate
RET00000001,ORD0000005,CUST000005,APPROVED,Damaged item,2023-02-04,2023-02-04
RET00000002,ORD0000006,CUST000006,PICKUP_SCHEDULED,Damaged item,2022-12-31,2022-12-31
RET00000003,ORD0000019,CUST000019,REQUESTED,Damaged item,2024-08-14,
RET00000004,ORD0000031,CUST000031,APPROVED,Product issue,2020-10-03,2020-10-03
RET00000005,ORD0000032,CUST000032,RECEIVED,Product issue,2023-03-30,2023-03-30
RET00000006,ORD0000033,CUST000033,RECEIVED,Wrong item,2021-04-04,2021-04-04
RET00000007,ORD0000063,CUST000063,COMPLETED,Damaged item,2023-07-21,2023-07-21
RET00000008,ORD0000065,CUST000065,RECEIVED,Product issue,2021-08-23,2021-08-23
RET00000009,ORD0000098,CUST000098,RECEIVED,Damaged item,2020-07-20,2020-07-20
RET00000010,ORD0000132,CUST000132,COMPLETED,Not needed,2023-03-08,2023-03-08
RET00000011,ORD0000149,CUST000149,APPROVED,Missing item,2022-07-18,2022-07-18
RET00000012,ORD0000164,CUST000164,COMPLETED,Damaged item,2024-01-25,2024-01-25
RET00000013,ORD0000176,CUST000176,RECEIVED,Not needed,2022-11-04,2022-11-04
RET00000014,ORD0000183,CUST000183,APPROVED,Missing item,2022-01-12,2022-01-12
RET00000015,ORD0000204,CUST000204,APPROVED,Missing item,2021-11-12,2021-11-12
RET00000016,ORD0000291,CUST000291,RECEIVED,Not needed,2024-06-21,2024-06-21
RET00000017,ORD0000309,CUST000309,RECEIVED,Not needed,2023-10-01,2023-10-01
RET00000018,ORD0000370,CUST000370,COMPLETED,Wrong item,2022-07-02,2022-07-02
RET00000019,ORD0000376,CUST000376,REQUESTED,Wrong item,2024-10-09,
RET00000020,ORD0000383,CUST000383,COMPLETED,Wrong item,2023-07-24,2023-07-24
RET00000021,ORD0000409,CUST000409,COMPLETED,Wrong item,2023-07-24,2023-07-24
RET00000022,ORD0000444,CUST000444,COMPLETED,Product issue,2022-09-19,2022-09-19
RET00000023,ORD0000482,CUST000482,REQUESTED,Not needed,2021-02-11,
RET00000024,ORD0000524,CUST000524,APPROVED,Wrong item,2020-09-20,2020-09-20
RET00000025,ORD0000586,CUST000586,APPROVED,Damaged item,2024-08-06,2024-08-06
RET00000026,ORD0000597,CUST000597,COMPLETED,Not needed,2024-11-08,2024-11-08
RET00000027,ORD0000601,CUST000601,COMPLETED,Damaged item,2023-05-12,2023-05-12
RET00000028,ORD0000637,CUST000637,PICKUP_SCHEDULED,Missing item,2024-02-07,2024-02-07
RET00000029,ORD0000682,CUST000682,PICKUP_SCHEDULED,Product issue,2023-12-14,2023-12-14
RET00000030,ORD0000717,CUST000717,COMPLETED,Wrong item,2023-09-27,2023-09-27
RET00000031,ORD0000725,CUST000725,RECEIVED,Damaged item,2023-06-10,2023-06-10
RET00000032,ORD0000730,CUST000730,PICKUP_SCHEDULED,Not needed,2021-12-18,2021-12-18
RET00000033,ORD0000753,CUST000753,PICKUP_SCHEDULED,Not needed,2024-09-12,2024-09-12
RET00000034,ORD0000775,CUST000775,PICKUP_SCHEDULED,Not needed,2024-03-22,2024-03-22
RET00000035,ORD0000790,CUST000790,COMPLETED,Missing item,2024-07-29,2024-07-29
RET00000036,ORD0000818,CUST000818,RECEIVED,Product issue,2023-05-28,2023-05-28
RET00000037,ORD0000835,CUST000835,REQUESTED,Damaged item,2023-12-03,
RET00000038,ORD0000842,CUST000842,RECEIVED,Wrong item,2024-04-28,2024-04-28
RET00000039,ORD0000959,CUST000959,RECEIVED,Wrong item,2021-11-07,2021-11-07
RET00000040,ORD0000978,CUST000978,PICKUP_SCHEDULED,Missing item,2023-10-03,2023-10-03
RET00000041,ORD0000999,CUST000999,REQUESTED,Damaged item,2023-08-19,
RET00000042,ORD0001000,CUST001000,RECEIVED,Damaged item,2022-07-07,2022-07-07
RET00000043,ORD0001005,CUST001005,RECEIVED,Not needed,2020-03-15,2020-03-15
RET00000044,ORD0001048,CUST001048,APPROVED,Damaged item,2020-05-05,2020-05-05
