case_id,customer_id,order_id,customer_message,domain,issue_type,support_category,product_name,product_category,transaction_amount,order_status,reported_at,channel,historical_csat,amount_band
CASE00000001,CUST000001,ORD0000001,I need help with my order.,ORDER,Life Insurance,Product Queries,Drone Mini,Books,1999.0,Cancelled,01/08/2023 11:13,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000002,CUST000002,ORD0000002,I need more information about the product.,ORDER,Product Specific Information,Product Queries,Microphone,Home & Kitchen,1999.99,Cancelled,01/08/2023 12:52,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000003,CUST000003,ORD0000003,I need help with my order.,ORDER,Installation/demo,Order Related,Power Bank 20000mAh,Clothing,2000.0,Cancelled,01/08/2023 20:16,Inbound,5,HIGH_VALUE
CASE00000004,CUST000004,ORD0000004,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Webcam Full HD,Home & Kitchen,2000.01,Cancelled,01/08/2023 20:56,Inbound,5,HIGH_VALUE
CASE00000005,CUST000005,ORD0000005,I need help with my order.,ORDER,Not Needed,Cancellation,T-Shirt,Clothing,2499.0,Returned,01/08/2023 10:30,Inbound,5,HIGH_VALUE
CASE00000006,CUST000006,ORD0000006,I need help with my order.,RETURN,Fraudulent User,Returns,Cookware Set,Books,4999.0,Returned,01/08/2023 15:13,Email,5,HIGH_VALUE
CASE00000007,CUST000007,ORD0000007,I need more information about the product.,ORDER,Product Specific Information,Product Queries,Dress Shirt,Clothing,7999.0,Cancelled,01/08/2023 15:31,Outcall,5,HIGH_VALUE
CASE00000008,CUST000008,ORD0000008,Very good,RETURN,Exchange / Replacement,Returns,Jeans,Toys & Games,999.0,Delivered,01/08/2023 16:17,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000009,CUST000009,ORD0000009,Shopzilla app and it's all coustomer care services is very good service provided all time,RETURN,Missing,Returns,Kids Toy Car,Sports & Outdoors,638.14,Delivered,01/08/2023 21:03,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000010,CUST000010,ORD0000010,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Wireless Earbuds,Clothing,565.75,Delivered,02/08/2023 18:14,Outcall,4,AUTONOMOUS_ELIGIBLE
CASE00000011,CUST000011,ORD0000011,Very bad,ORDER,Delayed,Order Related,Car Charger,Books,150.77,Delivered,02/08/2023 10:44,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000012,CUST000012,ORD0000012,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Projector Mini,Home & Kitchen,1791.23,Shipped,02/08/2023 11:26,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000013,CUST000013,ORD0000013,An item is missing from my order.,RETURN,Missing,Returns,Vacuum Cleaner,Home & Kitchen,1986.5,Delivered,02/08/2023 19:56,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000014,CUST000014,ORD0000014,I need help with my order.,RETURN,Service Centres Related,Returns,Microphone,Home & Kitchen,1766.23,Shipped,01/08/2023 09:01,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000015,CUST000015,ORD0000015,Something,ORDER,Installation/demo,Order Related,Desk Plant,Books,1103.14,Delivered,01/08/2023 10:00,Inbound,3,AUTONOMOUS_ELIGIBLE
CASE00000016,CUST000016,ORD0000016,I need help with my order.,ORDER,Not Needed,Cancellation,Jeans,Sports & Outdoors,1681.91,Delivered,01/08/2023 21:05,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000017,CUST000017,ORD0000017,All good,ORDER,Installation/demo,Order Related,Running Shoes,Home & Kitchen,1636.88,Delivered,02/08/2023 20:03,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000018,CUST000018,ORD0000018,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Graphic Tablet,Toys & Games,2747.96,Delivered,01/08/2023 22:31,Inbound,5,HIGH_VALUE
CASE00000019,CUST000019,ORD0000019,Good,RETURN,Return request,Returns,Puzzle 1000pc,Electronics,2968.03,Returned,02/08/2023 20:01,Inbound,5,HIGH_VALUE
CASE00000020,CUST000020,ORD0000020,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Microphone,Sports & Outdoors,987.62,Delivered,02/08/2023 16:15,Outcall,4,AUTONOMOUS_ELIGIBLE
CASE00000021,CUST000021,ORD0000021,Godd job,PAYMENT,Payment related Queries,Payments related,Jeans,Toys & Games,247.12,Delivered,02/08/2023 16:50,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000022,CUST000022,ORD0000022,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Smartwatch,Books,2084.37,Delivered,01/08/2023 08:55,Inbound,5,HIGH_VALUE
CASE00000023,CUST000023,ORD0000023,Issue not resolved pathetic service,ORDER,Order status enquiry,Order Related,Smartphone Case,Toys & Games,2383.25,Delivered,02/08/2023 11:07,Inbound,1,HIGH_VALUE
CASE00000024,CUST000024,ORD0000024,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,Backpack,Electronics,299.76,Delivered,01/08/2023 16:28,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000025,CUST000025,ORD0000025,Excellent,RETURN,Fraudulent User,Returns,4K Monitor,Toys & Games,17.7,Delivered,02/08/2023 21:06,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000026,CUST000026,ORD0000026,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Dress Shirt,Clothing,1286.86,Pending,02/08/2023 07:09,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000027,CUST000027,ORD0000027,Very good,ORDER,Return cancellation,Cancellation,Smart Light Bulb,Toys & Games,1449.89,Delivered,01/08/2023 16:37,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000028,CUST000028,ORD0000028,Give proper guidance to the customer,RETURN,Reverse Pickup Enquiry,Returns,LED Desk Lamp,Books,468.16,Delivered,01/08/2023 18:41,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000029,CUST000029,ORD0000029,Please highlight if the products cannot be returned.,ORDER,Unable to track,Order Related,Smart Light Bulb,Electronics,1359.32,Delivered,01/08/2023 21:28,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000030,CUST000030,ORD0000030,3000 rupees loss,RETURN,Reverse Pickup Enquiry,Returns,Phone Tripod,Toys & Games,1185.13,Delivered,02/08/2023 11:09,Outcall,1,AUTONOMOUS_ELIGIBLE
CASE00000031,CUST000031,ORD0000031,Please don't sale any destroy product or cheep product more price.,ORDER,Installation/demo,Order Related,Car Charger,Books,638.22,Delivered,02/08/2023 13:38,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000032,CUST000032,ORD0000032,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Gaming Mouse,Sports & Outdoors,485.18,Shipped,02/08/2023 13:55,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000033,CUST000033,ORD0000033,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Memory Card 128GB,Electronics,306.64,Delivered,02/08/2023 14:24,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000034,CUST000034,ORD0000034,I want to replace the product.,RETURN,Exchange / Replacement,Returns,Car Charger,Clothing,241.9,Delivered,02/08/2023 14:47,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000035,CUST000035,ORD0000035,I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.,ORDER,Order status enquiry,Order Related,Backpack,Sports & Outdoors,1489.87,Shipped,01/08/2023 00:54,Inbound,3,AUTONOMOUS_ELIGIBLE
CASE00000036,CUST000036,ORD0000036,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Puzzle 1000pc,Books,275.08,Delivered,01/08/2023 16:27,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000037,CUST000037,ORD0000037,No comments,ORDER,Installation/demo,Order Related,Board Game,Electronics,2427.31,Delivered,01/08/2023 16:40,Inbound,5,HIGH_VALUE
CASE00000038,CUST000038,ORD0000038,The seller cancelled my order. What happens to my payment?,ORDER,Seller Cancelled Order,Order Related,Instant Pot,Electronics,1348.42,Delivered,01/08/2023 17:37,Inbound,5,AUTONOMOUS_ELIGIBLE
